DFT CELL ADDRESS REPORT (Rich),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
General,,,,,,,,,,
0,,,,,,,,,,
Slave Address 0x54,,,,,,,,,,
Addresses,,,,,,,,,,
File,Cell Desc,Address,Ten,Bit,A/D,Address,Desc,Bit,POR,POR
global_cboot_35156756_XU17,global_cboot_35156756_XU17,0x07,T,4,257,257,257,257,0,0
global_clocksync_5d4c1f91_Xclocksync1_e3014061_XMAIN,global_clocksync_5d4c1f91_Xclocksync1_e3014061_XMAIN,0x17,T,7,257,257,257,257,0,0
global_comparator_5c7dff44_XU10,global_comparator_5c7dff44_XU10,0x0E,T,7,257,257,257,257,0,0
global_comparator_70e67769_XU3,global_comparator_70e67769_XU3,0x0D,T,5,257,257,257,257,0,0
global_comparator_75c89176_XU16,global_comparator_75c89176_XU16,0x12,T,5,257,257,257,257,0,0
global_comparator_ddbf938d_XU22,global_comparator_ddbf938d_XU22,0x0D,T,4,257,257,257,257,0,0
global_currentlimit_14d08c8e_XU3,global_currentlimit_14d08c8e_XU3,0x05,T,2,257,257,257,257,0,0
global_currentlimit_14d08c8e_XU3_ba40258e_XBOTSW,global_currentlimit_14d08c8e_XU3_ba40258e_XBOTSW,0x1A,T,6,257,257,257,257,0,0
global_currentlimit_2d447a5c_XU17,global_currentlimit_2d447a5c_XU17,0x05,T,0,257,257,257,257,0,0
global_currentlimit_2d447a5c_XU17_ba40258e_XBOTSW,global_currentlimit_2d447a5c_XU17_ba40258e_XBOTSW,0x1B,T,0,257,257,257,257,0,0
global_currentlimit_a0afb596_XU9,global_currentlimit_a0afb596_XU9,0x05,T,4,257,257,257,257,0,0
global_currentlimit_a0afb596_XU9_ba40258e_XBOTSW,global_currentlimit_a0afb596_XU9_ba40258e_XBOTSW,0x1A,T,7,257,257,257,257,0,0
global_fetdriver_bd0adf3c_Xfetdriver1,global_fetdriver_bd0adf3c_Xfetdriver1,0x05,T,6,257,257,257,257,0,0
global_fetdriver_bd0adf3c_Xfetdriver1_ba40258e_XBOTSW,global_fetdriver_bd0adf3c_Xfetdriver1_ba40258e_XBOTSW,0x1B,T,1,257,257,257,257,0,0
global_oscillator_90c263a6_XOSCEXT_e3014061_XMAIN,global_oscillator_90c263a6_XOSCEXT_e3014061_XMAIN,0x17,T,6,257,257,257,257,0,0
global_resistordivider_37d49b79_XU17,global_resistordivider_37d49b79_XU17,0x0D,T,3,257,257,257,257,0,0
global_slopecomp_f4252e65_XU22,global_slopecomp_f4252e65_XU22,0x07,T,6,257,257,257,257,0,0
